;C_p_expect (J/mol/K);N_eff;Vol_expect (mL/mol);dC_p_expect (J/mol/K);dVol_expect (mL/mol);epsilon values;rmin_half values
66;50.2343895958;14.0305608233;111.002182382;8.86018209827;66.9730220957;0.1058;1.89166666667
67;56.1269730845;20.9567674702;110.947243326;8.6331853014;59.7791807054;0.1058;1.894
68;90.9705893279;1996.0;109.326523237;2.88730150288;9.52239854677;0.1094;1.908
69;80.2527585616;93.7882462685;108.006150699;8.4346712496;37.521541908;0.1126;1.92
70;77.6494207824;70.6252786668;108.011497378;9.51720420638;42.1183955851;0.1126;1.922
71;75.0539817134;53.9917647862;108.031238076;10.8028472508;47.727775265;0.1126;1.924
72;72.4772479893;41.7966287769;108.063997344;12.2375302396;54.4482625186;0.1126;1.926
73;78.4835821255;67.4458599598;107.798508242;9.70329324072;42.706021167;0.113633333333;1.92
74;76.4297854401;54.5214929472;107.817055653;10.8689353872;46.2459245872;0.113633333333;1.922
75;74.5768121128;44.5538213296;107.847342906;12.2614459576;50.7154515305;0.113633333333;1.924
76;72.8712509215;36.7008759871;107.888259965;13.7906991456;56.0995306366;0.113633333333;1.926
77;76.5275612442;49.030693714;107.606250539;11.168012436;47.3705064401;0.114666666667;1.92
78;75.0805358661;41.9850952563;107.635676478;12.4153044934;49.6649051396;0.114666666667;1.922
79;73.9808557755;36.1962754329;107.674130544;13.9145618258;53.0830921273;0.114666666667;1.924
80;73.1360880165;31.3717151106;107.720890288;15.5484048298;57.4006021989;0.114666666667;1.926
81;74.2788828393;36.3946693198;107.429417463;12.6509790982;51.7581285143;0.1157;1.92
82;73.4051831445;32.6287266813;107.468121178;13.9514090018;52.4314698323;0.1157;1.922
83;72.9867059398;29.3082409398;107.513159836;15.5325216386;54.7097867957;0.1157;1.924
84;72.9215494044;26.4086691211;107.564198388;17.2646399231;58.1586508554;0.1157;1.926
85;90.970589329;1996.0;109.326523237;2.88730150303;9.52239854677;0.1094;1.908
86;90.3291314697;608.872544579;108.292212163;5.31919541471;22.080963719;0.1126;1.908
87;89.8621579665;455.415918849;108.21071276;5.71437462911;24.2465454321;0.1126;1.91
88;88.8210052862;332.394365763;108.140613609;6.07886166383;26.3109625767;0.1126;1.912
89;87.2260472293;240.016241853;108.08394024;6.46281273348;28.432443217;0.1126;1.914
90;90.4972736598;284.37216052;107.982118993;7.62977488477;34.6569038344;0.113633333333;1.908
91;89.3264113213;222.54694647;107.914643338;7.80493984833;36.1149983799;0.113633333333;1.91
92;87.5887761447;174.176657162;107.861591347;7.88685577647;36.9372916374;0.113633333333;1.912
93;85.4479950697;136.290094862;107.823671013;8.00037286637;37.5609701506;0.113633333333;1.914
94;89.8335785717;126.242248521;107.683717588;10.3731939708;51.8534273757;0.114666666667;1.908
95;87.8407090645;107.694852174;107.634099236;10.151461103;51.4427709945;0.114666666667;1.91
96;85.4734306741;92.6355220127;107.600666835;9.86735035856;49.9924209484;0.114666666667;1.912
97;82.9672966383;79.479799219;107.582555292;9.69384792301;48.1942197627;0.114666666667;1.914
98;87.7100781251;58.1154008181;107.399719958;12.7205368577;71.4593737031;0.1157;1.908
99;85.1001908033;54.4037796516;107.371017932;12.1297501428;68.5990068872;0.1157;1.91
100;82.3987178907;51.4397989054;107.358672772;11.5936067473;64.5399618691;0.1157;1.912
101;79.8159973057;48.2874954642;107.360506055;11.267281208;60.0282239266;0.1157;1.914
102;90.9705893304;1996.0;109.326523237;2.88730150303;9.52239854677;0.1094;1.908
103;85.0663228902;539.703275592;109.022809988;4.17984577636;16.7160401006;0.1126;1.894
104;86.5725683824;754.859381183;108.89180033;3.88825242036;14.9035093129;0.1126;1.89633333333
105;87.7471302837;950.460422852;108.762546869;3.78861853694;14.310311748;0.1126;1.89866666667
106;88.7636866841;1041.1723161;108.636265811;3.93640806553;15.052316978;0.1126;1.901
